serogroup Results
Accession,query,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,
ERR1485308,contig00011,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1485310,contig00009,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1485312,contig00010,O1,99.820,555,1,0,111162,111716,1,555,0.0,1020,
ERR163240,contig00010,O1,100.000,555,0,0,77644,78198,1,555,0.0,1026,
ERR163241,contig00011,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR163242,contig00010,O1,100.000,555,0,0,91886,92440,1,555,0.0,1026,
ERR163244,contig00010,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR164765,contig00010,O1,100.000,555,0,0,91886,92440,1,555,0.0,1026,
ERR164766,contig00013,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR164768,contig00013,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR164773,contig00012,O1,100.000,555,0,0,77636,78190,1,555,0.0,1026,
ERR164776,contig00012,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR1877613,contig00010,O1,100.000,555,0,0,87027,87581,1,555,0.0,1026,
ERR1877616,contig00014,O1,100.000,555,0,0,48561,49115,1,555,0.0,1026,
ERR1877636,contig00011,O1,100.000,555,0,0,78109,78663,1,555,0.0,1026,
ERR1877637,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1877638,contig00010,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1877639,contig00010,O1,100.000,555,0,0,99584,100138,1,555,0.0,1026,
ERR1877640,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1877641,contig00013,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR1877642,contig00012,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR1877643,contig00009,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1877644,contig00010,O1,100.000,555,0,0,110944,111498,1,555,0.0,1026,
ERR1877645,contig00009,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1877646,contig00009,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1877647,contig00009,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1877648,contig00011,O1,100.000,555,0,0,99580,100134,1,555,0.0,1026,
ERR1877939,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1877940,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1877941,contig00010,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1877942,contig00010,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1877943,contig00011,O1,100.000,555,0,0,99426,99980,1,555,0.0,1026,
ERR1877944,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1877945,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1877946,contig00009,O1,100.000,555,0,0,110944,111498,1,555,0.0,1026,
ERR1877947,contig00010,O1,100.000,555,0,0,99582,100136,1,555,0.0,1026,
ERR1877948,contig00009,O1,100.000,555,0,0,99580,100134,1,555,0.0,1026,
ERR1877949,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1877950,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1877951,contig00012,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR1877952,contig00010,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1877953,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1877954,contig00009,O1,100.000,555,0,0,111162,111716,1,555,0.0,1026,
ERR1877955,contig00012,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR1877956,contig00011,O1,100.000,555,0,0,110944,111498,1,555,0.0,1026,
ERR1877957,contig00009,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1878088,contig00009,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR1878089,contig00011,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1878090,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878091,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878092,contig00010,O1,100.000,555,0,0,99576,100130,1,555,0.0,1026,
ERR1878093,contig00013,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR1878094,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878095,contig00012,O1,100.000,555,0,0,99580,100134,1,555,0.0,1026,
ERR1878096,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878097,contig00011,O1,100.000,555,0,0,99318,99872,1,555,0.0,1026,
ERR1878098,contig00010,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR1878099,contig00012,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR1878100,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878101,contig00012,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR1878102,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878103,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878104,contig00010,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1878105,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878106,contig00009,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1878107,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878108,contig00010,O1,100.000,555,0,0,110660,111214,1,555,0.0,1026,
ERR1878109,contig00010,O1,100.000,555,0,0,99330,99884,1,555,0.0,1026,
ERR1878110,contig00010,O1,100.000,555,0,0,110877,111431,1,555,0.0,1026,
ERR1878111,contig00009,O1,100.000,555,0,0,111162,111716,1,555,0.0,1026,
ERR1878112,contig00010,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR1878113,contig00009,O1,100.000,555,0,0,110944,111498,1,555,0.0,1026,
ERR1878114,contig00011,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878115,contig00009,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR1878116,contig00011,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878117,contig00009,O1,100.000,555,0,0,99556,100110,1,555,0.0,1026,
ERR1878127,contig00009,O1,100.000,555,0,0,99581,100135,1,555,0.0,1026,
ERR1878128,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878129,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878130,contig00010,O1,100.000,555,0,0,99580,100134,1,555,0.0,1026,
ERR1878131,contig00009,O1,100.000,555,0,0,99437,99991,1,555,0.0,1026,
ERR1878132,contig00023,O1,100.000,555,0,0,6490,7044,1,555,0.0,1026,
ERR1878133,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878134,contig00010,O1,100.000,555,0,0,110660,111214,1,555,0.0,1026,
ERR1878135,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878136,contig00010,O1,100.000,555,0,0,99318,99872,1,555,0.0,1026,
ERR1878146,contig00011,O1,100.000,555,0,0,82134,82688,1,555,0.0,1026,
ERR1878147,contig00011,O1,100.000,555,0,0,82134,82688,1,555,0.0,1026,
ERR1878148,contig00012,O1,100.000,555,0,0,77638,78192,1,555,0.0,1026,
ERR1878149,contig00009,O1,100.000,555,0,0,111162,111716,1,555,0.0,1026,
ERR1878150,contig00009,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR1878151,contig00010,O1,100.000,555,0,0,99584,100138,1,555,0.0,1026,
ERR1878152,contig00009,O1,100.000,555,0,0,110944,111498,1,555,0.0,1026,
ERR1878153,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878154,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878155,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878544,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878545,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878546,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878547,contig00010,O1,100.000,555,0,0,99421,99975,1,555,0.0,1026,
ERR1878548,contig00009,O1,100.000,555,0,0,99437,99991,1,555,0.0,1026,
ERR1878549,contig00010,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1878550,contig00028,O1,100.000,555,0,0,6490,7044,1,555,0.0,1026,
ERR1878551,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878552,contig00012,O1,100.000,555,0,0,77638,78192,1,555,0.0,1026,
ERR1878553,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878554,contig00010,O1,100.000,555,0,0,99580,100134,1,555,0.0,1026,
ERR1878555,contig00010,O1,100.000,555,0,0,110660,111214,1,555,0.0,1026,
ERR1878556,contig00010,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR1878557,contig00009,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR1878558,contig00010,O1,100.000,555,0,0,110945,111499,1,555,0.0,1026,
ERR1878559,contig00009,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR1878560,contig00010,O1,100.000,555,0,0,110877,111431,1,555,0.0,1026,
ERR1878561,contig00010,O1,100.000,555,0,0,99580,100134,1,555,0.0,1026,
ERR1878562,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878563,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878564,contig00012,O1,100.000,555,0,0,77638,78192,1,555,0.0,1026,
ERR1878565,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878566,contig00010,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1878567,contig00012,O1,100.000,555,0,0,77638,78192,1,555,0.0,1026,
ERR1878568,contig00012,O1,100.000,555,0,0,77638,78192,1,555,0.0,1026,
ERR1878569,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878570,contig00009,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR1878571,contig00009,O1,100.000,555,0,0,111162,111716,1,555,0.0,1026,
ERR1878572,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878573,contig00010,O1,100.000,555,0,0,77642,78196,1,555,0.0,1026,
ERR1878575,contig00009,O1,100.000,555,0,0,99431,99985,1,555,0.0,1026,
ERR1878576,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878577,contig00009,O1,100.000,555,0,0,99350,99904,1,555,0.0,1026,
ERR1878578,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878579,contig00009,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1878580,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878581,contig00013,O1,100.000,555,0,0,77629,78183,1,555,0.0,1026,
ERR1878582,contig00012,O1,100.000,555,0,0,77638,78192,1,555,0.0,1026,
ERR1878583,contig00009,O1,100.000,555,0,0,99320,99874,1,555,0.0,1026,
ERR1878586,contig00010,O1,100.000,555,0,0,99580,100134,1,555,0.0,1026,
ERR1878587,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878588,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878589,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878590,contig00008,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1878591,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878592,contig00009,O1,100.000,555,0,0,99419,99973,1,555,0.0,1026,
ERR1878593,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878594,contig00011,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1878595,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878596,contig00009,O1,100.000,555,0,0,110944,111498,1,555,0.0,1026,
ERR1878597,contig00009,O1,100.000,555,0,0,110948,111502,1,555,0.0,1026,
ERR1878598,contig00009,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1878599,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878600,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1878601,contig00009,O1,100.000,555,0,0,99447,100001,1,555,0.0,1026,
ERR1878602,contig00012,O1,99.820,555,1,0,77638,78192,1,555,0.0,1020,
ERR1878603,contig00012,O1,99.820,555,1,0,77638,78192,1,555,0.0,1020,
ERR1878604,contig00009,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR1878605,contig00009,O1,100.000,555,0,0,99587,100141,1,555,0.0,1026,
ERR1878607,contig00011,O1,99.820,555,1,0,77638,78192,1,555,0.0,1020,
ERR1878608,contig00013,O1,99.820,555,1,0,77638,78192,1,555,0.0,1020,
ERR1878609,contig00010,O1,100.000,555,0,0,99580,100134,1,555,0.0,1026,
ERR1878610,contig00010,O1,100.000,555,0,0,110982,111536,1,555,0.0,1026,
ERR1878611,contig00009,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1878612,contig00009,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1878613,contig00010,O1,100.000,555,0,0,111162,111716,1,555,0.0,1026,
ERR1878614,contig00017,O1,100.000,555,0,0,15764,16318,1,555,0.0,1026,
ERR1878615,contig00010,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1878616,contig00009,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1879384,contig00013,O1,100.000,555,0,0,78110,78664,1,555,0.0,1026,
ERR1879385,contig00010,O1,100.000,555,0,0,77642,78196,1,555,0.0,1026,
ERR1879386,contig00010,O1,100.000,555,0,0,110947,111501,1,555,0.0,1026,
ERR1879387,contig00012,O1,100.000,555,0,0,90128,90682,1,555,0.0,1026,
ERR1879388,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1879391,contig00011,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR1879392,contig00011,O1,100.000,555,0,0,77640,78194,1,555,0.0,1026,
ERR1879393,contig00011,O1,100.000,555,0,0,110877,111431,1,555,0.0,1026,
ERR1879429,contig00011,O1,100.000,555,0,0,111179,111733,1,555,0.0,1026,
ERR1879430,contig00012,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR1879431,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1879432,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1879433,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1879434,contig00012,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR1879435,contig00013,O1,100.000,555,0,0,78109,78663,1,555,0.0,1026,
ERR1879436,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1879437,contig00020,O1,100.000,555,0,0,6490,7044,1,555,0.0,1026,
ERR1879438,contig00010,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR1879535,contig00012,O1,100.000,555,0,0,78110,78664,1,555,0.0,1026,
ERR1879536,contig00017,O1,100.000,555,0,0,4812,5366,1,555,0.0,1026,
ERR1879538,contig00012,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR1879539,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1879540,contig00010,O1,100.000,555,0,0,111161,111715,1,555,0.0,1026,
ERR1879541,contig00012,O1,100.000,555,0,0,77645,78199,1,555,0.0,1026,
ERR1879542,contig00013,O1,100.000,555,0,0,78114,78668,1,555,0.0,1026,
ERR1879543,contig00011,O1,100.000,555,0,0,77642,78196,1,555,0.0,1026,
ERR1879544,contig00010,O1,100.000,555,0,0,110924,111478,1,555,0.0,1026,
ERR1879545,contig00011,O1,100.000,555,0,0,99580,100134,1,555,0.0,1026,
